id,title,title_english,description,release_date,duration,language,director,cast,poster_url,trailer_video_url,age_rating,category
710af9c9-408f-4ea9-bc61-257e751fff83,Shin Cậu Bé Bút Chì: Bí Ẩn! Học Viện Hoa Lệ Tenkasu (Lồng Tiếng),Crayon Shinchan the Movie: School Mystery! The Splendid Tenkasu Academy,"Câu chuyện của bộ phim bắt đầu với Shinnosuke và những người bạn của Shin thuộc Đội đặc nhiệm Kasukabe trải qua một tuần ở lại ""Học viện Tư nhân Tenkasu Kasukabe"" (Còn gọi là ""Học viện Tenkasu""), một trường nội trú ưu tú được quản lý bởi một AI hiện đại, ""Otsmun"". Tất cả các học sinh ban đầu được trao một huy hiệu với 1000 điểm và điểm của các em sẽ được Otsmun tăng hoặc giảm dựa trên hành vi và kết quả học tập của các em. Trong đó ai đó tấn công Kazama. Kết quả là trí thông minh của anh ta bị suy giảm và những vết cắn kỳ lạ để lại trên mông anh ta. Đội đặc nhiệm Kasukabe hợp lực với chủ tịch hội học sinh bỏ học của trường, Chishio Atsuki, một cựu vận động viên, để thành lập một nhóm thám tử và giải quyết bí ẩn",2025-05-02,106,Lồng Tiếng Việt,Wataru Takahashi,"Yumiko Kobayashi, Miki Narahashi, Toshiyuki Morikawa,...",https://touchcinema.com/medias/hinhphim2025/shin-pink-poster-social-poster.jpg,https://youtu.be/u8lbxkM6RXk,AGE_UNRATED,"Hoạt Hình, Thần Thoại"
38b8eede-0ac4-4265-9496-49d15a716b19,Địa Đạo: Mặt Trời Trong Bóng Tối (Phiên Bản Đặc Biệt),,"Phim điện ảnh đề tài kháng chiến “Địa Đạo: Mặt Trời Trong Bóng Tối” của đạo diễn Bùi Thạc Chuyên dự kiến ra rạp từ 04/04/2025, hướng đến kỷ niệm 50 năm thống nhất đất nước. Phim lấy cảm hứng từ trận càn Cedar Falls năm 1967 đã đốt trụi nhiều mảng rừng ở Củ Chi. Ở địa đạo này, cấp trên đã giao nhiệm vụ cho đội của Bảy Theo bảo vệ thùng thuốc và bệnh viện dã chiến. Để vận chuyển được trang thiết bị quân y đến địa đạo, các chiến sĩ đã phải đổ không biết bao nhiêu xương máu. Vì vậy, đội của anh lại càng quyết tâm bảo vệ giữ vững trận địa đến cùng.",2025-04-04,128,Tiếng Việt - Phụ đề Tiếng Anh,Bùi Thạc Chuyên,"Thái Hòa, Quang Tuấn, Diễm Hằng Lamoon, Anh Tú Wilson, Hồ Thu Anh, Uyển Ân,...",https://touchcinema.com/uploads/slide-web/470x700-24-poster.jpg,https://youtu.be/-OGDDtsIBHA,AGE_18_PLUS,Lịch Sử
1d2238e7-31f0-4700-aa62-0b0ac7efa48a,Biệt Đội Sấm Sét*,THUNDERBOLTS*,"Ai trong team này cũng từng làm việc ác, giờ là lúc làm việc ác cùng nhau. Các thành phần bất hảo trong vũ trụ điện ảnh Marvel giờ đây đã được triệu tập trở thành một nhóm gọi là “Biệt Đội Sấm Sét”, để làm những nhiệm vụ nguy hiểm bậc nhất mà có thể sẽ thay đổi con người, cuộc đời họ mãi mãi.",2025-05-01,126,Tiếng Anh - Phụ đề Tiếng Việt,Jake Schreier,"Florence Pugh, Sebastian Stan, David Harbour, Wyatt Russell, Olga Kurylenko, Lewis Pullman, Geraldine Viswanathan, Chris Bauer, Wendell Edward Pierce, with David Harbour, with Hannah John-Kamen, Julia Louis-Dreyfus,...",https://touchcinema.com/uploads/slider-app/copy-of-rap-470x700-poster.jpg,https://youtu.be/wZjKEMrl4oM,AGE_13_PLUS,"Hành Động, Phiêu Lưu"
e678d2a2-7f67-496b-9e84-ae42ca756bf1,Thám Tử Kiên: Kỳ Án Không Đầu,,"Thám Tử Kiên là một nhân vật được yêu thích trong tác phẩm điện của ăn khách Người Vợ Cuối Cùng của Victor Vũ, Thám Tử Kiên: Kỳ Không Đầu sẽ là một phim Victor Vũ trở về với thể loại sở trường Kinh Dị - Trinh Thám sau những tác phẩm tình cảm lãng mạn trước đó.

Với slogan đầy ám ảnh: “Kẻ chết không siêu thoát, người sống không lối thoát”, Thám Tử Kiên: Kỳ Án Không Đầu ẩn chứa muôn vàn bí ẩn. Một chuỗi án mạng kinh hoàng tại một ngôi làng hẻo lánh – nơi liên tiếp xảy ra tám vụ giết người với cùng một đặc điểm rợn người: tất cả nạn nhân đều không còn đầu.

Thám Tử Kiên phải đối mặt với vụ án khủng khiếp gây hoang mang tột độ cho dân làng. Ai sẽ là nạn nhân tiếp theo trong chuỗi án mạng rùng rợn? Kiên có tìm ra mấu chốt để lần theo dấu vết hung thủ? Thuộc thể loại tâm linh - ly kỳ - phá án, Thám Tử Kiên: Kỳ Án Không Đầu được đạo diễn Victor Vũ kì công nhào nặn, ghi hình tại Tuyên Quang và Cao Bằng cực kì kĩ lưỡng.

Dàn diễn viên chính trong phim bao gồm: Quốc Huy vai Thám tử Kiên, Đinh Ngọc Diệp vai Hai Mẫn, Quốc Anh vai Thạc, Anh Phạm vai Tuyết và Minh Anh vai Nga, NSƯT Xuân Trang trong vai Quan Liêm, NSND Mỹ Uyên trong vai Bà Vượng (vợ quan Liêm).",2025-04-28,131, Tiếng Việt - Phụ đề Tiếng Anh, Victor Vũ," Quốc Huy, Đinh Ngọc Diệp, Quốc Anh, Minh Anh, Anh Phạm,...",https://touchcinema.com/uploads/slider-app/470x700-29-poster.jpg,https://youtu.be/QiXNbEKF3U0,AGE_16_PLUS,Kinh Dị
27ce06d3-4460-4953-87da-b6fcb007c164,Lật Mặt 8: Vòng Tay Nắng,FACE OFF 8: EMBRACE OF LIGHT,"Một bộ phim về sự khác biệt quan điểm giữa ba thế hệ ông bà cha mẹ con cháu. Ai cũng đúng ở góc nhìn của mình nhưng đứng trước hoài bão của tuổi trẻ, cuối cùng thì ai sẽ là người phải nghe theo người còn lại? Và nếu ước mơ của những đứa trẻ bị cho là viển vông, thì cơ hội nào và bao giờ tuổi trẻ mới được tự quyết định tương lai của mình?",2025-04-30,135,Tiếng Việt - Phụ đề Tiếng Anh, Lý Hải,"NSƯT Kim Phương, Long Đẹp Trai, NSƯT Tuyết Thu, Quách Ngọc Tuyên, Đoàn Thế Vinh, Hồng Thu, Yuno Bigboi, Anh Tú Wilson, Bảo Ngọc, Tín Nguyễn, Hồ Đông Quan, Cherry Hải My, Rio Hạo Nhiên,…",https://touchcinema.com/uploads/slider-app/lm8-1200x1800-poster.png,https://youtu.be/hUlBTt3NyGI,AGE_13_PLUS," Gia Đình, Tâm Lý"
bc51b1e4-fbc5-467b-ad6a-8d106a4ab779,Doraemon: Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,DORAEMON MOVIE 44: NOBITA NO ESEKAI MONOGATARI,"Thông qua món bảo bối mới của Doraemon, cả nhóm bạn bước thế giới trong một bức tranh nổi tiếng và bắt gặp cô bạn bí ẩn tên Claire. Với lời mời của Claire, cả nhóm cùng đến thăm vương quốc Artoria, nơi ẩn giấu một viên ngọc quý mang tên Artoria Blue đang ngủ yên. Trên hành trình tìm kiếm viên ngọc, nhóm bạn Doraemon phát hiện một truyền thuyết về sự hủy diệt của thế giới, mà truyền thuyết đó dường như đang sống dậy! Liệu cả nhóm có thể phá hủy lời nguyền này và bảo vệ cả thế giới?",2025-05-23,,Lồng Tiếng Việt,Yukiyo Teramoto,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki,...",https://touchcinema.com/uploads/slide-web/copy-of-250220-dr25-main-b1-localized-embbed-1-poster.jpg,https://youtu.be/Bz0zCdNBj1Q,AGE_UNKNOWN,"Hoạt Hình, Phiêu Lưu"
d42a1590-967a-4d2a-ad64-4bd2e4437130,Đêm Thánh: Đội Săn Quỷ,HOLY NIGHT: DEMON HUNTERS,"Tổ đội săn lùng và tiêu diệt các thế lực tôn thờ quỷ dữ với những sức mạnh siêu nhiên khác nhau gồm “tay đấm” Ma Dong-seok, Seohuyn (SNSD) và David Lee hứa hẹn mở ra cuộc chiến săn quỷ khốc liệt nhất dịp lễ 30/4 này!",2025-05-09,,Tiếng Hàn - Phụ đề tiếng Việt,Lim Dae-hee," Don Lee, Seo Hyun, David Lee,...",https://touchcinema.com/uploads/slider-app/holy-night-main-poster-intl-001-poster.jpg,https://youtu.be/Iwg6nQxN51I,AGE_UNKNOWN,"Hành Động, Kinh Dị, Thần Thoại"
d78c8577-2358-4caf-b5c9-73b191b8c92e,Khủng Long Xanh Du Hành Thế Giới Truyện Tranh (Lồng Tiếng),DIPLODOCUS,"Khủng Nhong - một chú khủng long xanh với tính cách hiếu động, tò mò bị lạc mất cha mẹ và buộc phải lên đường tìm lại gia đình. Là một sinh vật sống trong cuốn truyện tranh do hoạ sĩ Tét vẽ - người đang muốn tẩy xóa những trang truyện tranh của mình sau lời phê bình từ nhà xuất bản, Khủng Nhong bắt đầu dịch chuyển từ cuốn truyện này sang cuốn truyện khác. Trên hành trình phiêu lưu qua những thế giới kỳ diệu, Khủng Nhong lần lượt gặp gỡ Phù Thuỷ Tinh Tú, Tiến Sĩ Tóc Búi và Giáo Sư Đầu Xù. Để cứu cha mẹ của Khủng Nhong, tất cả các nhân vật hoạt hình phải tin tưởng vào chính mình và thuyết phục hoạ sĩ Tét giữ lại “đứa con tinh thần” thay vì cố gắng sáng tác những gì ông không hề yêu thích.",2025-04-30,87,Lồng Tiếng Việt,Wojtek Wawszczyk,"Julian Wanderer, Tadeusz Baranowski, Rachel Butera,...",https://touchcinema.com/medias/hinhphim2025/1200wx1800h-27-poster.jpg,https://youtu.be/LWOK4OP66BE,AGE_UNRATED, Hoạt Hình
4c7c9220-ae68-43e5-b0a9-ace2b7abeb93,CONAN MOVIE 28,CONAN MOVIE 28,"Bộ phim Conan Movie 28 đã chính thức có lịch khởi chiếu tại Nhật Bản vào ngày 18 tháng 4 năm 2025. Hơn nữa, hình ảnh teaser do Gosho Aoyama vẽ cũng đã được phát hành! Với cảnh tượng được cho là vùng núi tuyết của tỉnh Nagano. (goemon-jp)",2026-06-27,,, Katsuya Shigehara,"Minami Takayama, Wakana Yamazaki, Rikiya Koyama, Show Hayami, Yuji Takada,...",https://touchcinema.com/medias/hinhphim2025/469022458-1002511818571130-8286052885633190318-n-poster.jpg,https://youtu.be/Iz1JBQPxC9s,AGE_UNKNOWN, Hoạt Hình
beabf2f2-ffd7-4efe-974f-c8b1b563ca79,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,DEMON SLAYER: INFINITY CASTLE,"Hãy cùng đón chờ màn combat cuối cùng giữa Tanjiro, các Trụ Cột và các Thượng Huyền vào năm 2025.",2025-12-05,,, Haruo Sotozaki,"Hiro Shimono, Natsuki Hanae, Yoshitsugu Matsuoka, Akari Kitō,...",https://touchcinema.com/uploads/slider-app/demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle-2-1742546619891-poster.jpg,https://youtu.be/MKoSM_7OVhw,AGE_UNKNOWN, Hoạt Hình
